sample_id,noise_type,snr_db,method,pesq,stoi
1089-134686-0000,white,-5,noisy,1.0312,0.6629
1089-134686-0000,white,-5,wiener,1.0461,0.7257
1089-134686-0000,white,-5,spectral_sub,1.043,0.6506
1089-134686-0000,white,0,noisy,1.0399,0.7596
1089-134686-0000,white,0,wiener,1.0742,0.8013
1089-134686-0000,white,0,spectral_sub,1.0877,0.7643
1089-134686-0000,white,5,noisy,1.0571,0.8468
1089-134686-0000,white,5,wiener,1.1332,0.8414
1089-134686-0000,white,5,spectral_sub,1.2126,0.8595
1089-134686-0000,white,10,noisy,1.1086,0.916
1089-134686-0000,white,10,wiener,1.2482,0.8638
1089-134686-0000,white,10,spectral_sub,1.4399,0.9278
1089-134686-0000,white,15,noisy,1.2646,0.9614
1089-134686-0000,white,15,wiener,1.4174,0.8776
1089-134686-0000,white,15,spectral_sub,1.811,0.9669
1089-134686-0000,white,20,noisy,1.5301,0.9851
1089-134686-0000,white,20,wiener,1.5367,0.8856
1089-134686-0000,white,20,spectral_sub,2.3054,0.9854
1089-134686-0000,pink,-5,noisy,1.5181,0.9511
1089-134686-0000,pink,-5,wiener,1.1474,0.8471
1089-134686-0000,pink,-5,spectral_sub,1.9371,0.9532
1089-134686-0000,pink,0,noisy,1.9019,0.9792
1089-134686-0000,pink,0,wiener,1.2055,0.873
1089-134686-0000,pink,0,spectral_sub,2.4473,0.9809
1089-134686-0000,pink,5,noisy,2.3898,0.9924
1089-134686-0000,pink,5,wiener,1.2842,0.8855
1089-134686-0000,pink,5,spectral_sub,3.058,0.9927
1089-134686-0000,pink,10,noisy,2.9283,0.9974
1089-134686-0000,pink,10,wiener,1.3785,0.8904
1089-134686-0000,pink,10,spectral_sub,3.6612,0.9974
1089-134686-0000,pink,15,noisy,3.5101,0.9992
1089-134686-0000,pink,15,wiener,1.4745,0.8922
1089-134686-0000,pink,15,spectral_sub,4.0108,0.9991
1089-134686-0000,pink,20,noisy,4.0366,0.9997
1089-134686-0000,pink,20,wiener,1.5569,0.8927
1089-134686-0000,pink,20,spectral_sub,4.1839,0.9997
1089-134686-0000,soundtrack,-5,noisy,1.0563,0.7393
1089-134686-0000,soundtrack,-5,wiener,1.0777,0.7065
1089-134686-0000,soundtrack,-5,spectral_sub,1.0764,0.7106
1089-134686-0000,soundtrack,0,noisy,1.1156,0.8229
1089-134686-0000,soundtrack,0,wiener,1.1217,0.778
1089-134686-0000,soundtrack,0,spectral_sub,1.1587,0.8073
1089-134686-0000,soundtrack,5,noisy,1.26,0.8935
1089-134686-0000,soundtrack,5,wiener,1.1619,0.8224
1089-134686-0000,soundtrack,5,spectral_sub,1.3347,0.8893
1089-134686-0000,soundtrack,10,noisy,1.5421,0.9453
1089-134686-0000,soundtrack,10,wiener,1.2127,0.855
1089-134686-0000,soundtrack,10,spectral_sub,1.7029,0.9454
1089-134686-0000,soundtrack,15,noisy,1.9775,0.9768
1089-134686-0000,soundtrack,15,wiener,1.2989,0.876
1089-134686-0000,soundtrack,15,spectral_sub,2.1962,0.9781
1089-134686-0000,soundtrack,20,noisy,2.5434,0.9918
1089-134686-0000,soundtrack,20,wiener,1.3998,0.8865
1089-134686-0000,soundtrack,20,spectral_sub,2.823,0.9921
1188-133604-0001,white,-5,noisy,1.0489,0.5034
1188-133604-0001,white,-5,wiener,1.0493,0.5147
1188-133604-0001,white,-5,spectral_sub,1.053,0.4969
1188-133604-0001,white,0,noisy,1.0515,0.5618
1188-133604-0001,white,0,wiener,1.0667,0.5598
1188-133604-0001,white,0,spectral_sub,1.0975,0.56
1188-133604-0001,white,5,noisy,1.0658,0.6157
1188-133604-0001,white,5,wiener,1.105,0.5908
1188-133604-0001,white,5,spectral_sub,1.2103,0.616
1188-133604-0001,white,10,noisy,1.1369,0.6694
1188-133604-0001,white,10,wiener,1.2018,0.6181
1188-133604-0001,white,10,spectral_sub,1.3488,0.6704
1188-133604-0001,white,15,noisy,1.2776,0.7258
1188-133604-0001,white,15,wiener,1.3505,0.6527
1188-133604-0001,white,15,spectral_sub,1.5152,0.7235
1188-133604-0001,white,20,noisy,1.4993,0.7888
1188-133604-0001,white,20,wiener,1.4784,0.6995
1188-133604-0001,white,20,spectral_sub,1.736,0.7838
1188-133604-0001,pink,-5,noisy,1.3625,0.8143
1188-133604-0001,pink,-5,wiener,1.1124,0.7024
1188-133604-0001,pink,-5,spectral_sub,1.6825,0.8172
1188-133604-0001,pink,0,noisy,1.8119,0.8499
1188-133604-0001,pink,0,wiener,1.1625,0.7367
1188-133604-0001,pink,0,spectral_sub,2.1187,0.8446
1188-133604-0001,pink,5,noisy,2.3702,0.8791
1188-133604-0001,pink,5,wiener,1.2288,0.766
1188-133604-0001,pink,5,spectral_sub,2.5737,0.8673
1188-133604-0001,pink,10,noisy,3.0129,0.9078
1188-133604-0001,pink,10,wiener,1.3362,0.7927
1188-133604-0001,pink,10,spectral_sub,3.0383,0.8895
1188-133604-0001,pink,15,noisy,3.6352,0.9359
1188-133604-0001,pink,15,wiener,1.4692,0.8185
1188-133604-0001,pink,15,spectral_sub,3.4207,0.9125
1188-133604-0001,pink,20,noisy,4.1503,0.9622
1188-133604-0001,pink,20,wiener,1.5887,0.8433
