true_class,pred_class,correct,flatness,periodicity,zcr,log_rms
white_noise,white_noise,1,0.3695,0.5364,0.3524,-0.9759
white_noise,white_noise,1,0.3678,0.2797,0.3727,-0.7931
white_noise,music/soundtrack,0,0.3463,0.7766,0.3606,-0.9358
white_noise,white_noise,1,0.3617,0.3124,0.3988,-0.8528
white_noise,music/soundtrack,0,0.3183,0.7199,0.3135,-0.7735
white_noise,pink_noise,0,0.2823,0.0909,0.2877,-0.6909
white_noise,white_noise,1,0.3532,0.7498,0.3711,-0.9977
white_noise,pink_noise,0,0.2644,0.0987,0.2829,-0.6627
white_noise,white_noise,1,0.3627,0.1211,0.3469,-0.981
white_noise,white_noise,1,0.3548,0.4795,0.3523,-0.8771
white_noise,music/soundtrack,0,0.3237,0.7543,0.3368,-0.8739
white_noise,white_noise,1,0.3708,0.1842,0.3888,-0.9461
white_noise,pink_noise,0,0.3294,0.212,0.3254,-0.7469
white_noise,pink_noise,0,0.2754,0.143,0.2915,-0.6599
white_noise,white_noise,1,0.3745,0.2149,0.3989,-0.9048
white_noise,music/soundtrack,0,0.253,0.7382,0.2729,-0.659
white_noise,white_noise,1,0.3794,0.4352,0.364,-1.1036
white_noise,white_noise,1,0.3578,0.749,0.3564,-0.83
white_noise,white_noise,1,0.3801,0.4731,0.3794,-0.9822
white_noise,white_noise,1,0.3607,0.1938,0.3994,-0.8651
white_noise,pink_noise,0,0.3392,0.1533,0.333,-0.8316
white_noise,pink_noise,0,0.3007,0.1516,0.3375,-0.7254
white_noise,music/soundtrack,0,0.3495,0.8408,0.3795,-0.795
white_noise,music/soundtrack,0,0.2677,0.3076,0.2812,-0.6343
white_noise,white_noise,1,0.3912,0.2911,0.3665,-1.0342
white_noise,white_noise,1,0.3656,0.742,0.3644,-0.7723
white_noise,pink_noise,0,0.3429,0.1703,0.3496,-0.9214
white_noise,white_noise,1,0.361,0.09,0.3846,-0.9179
white_noise,music/soundtrack,0,0.3358,0.4148,0.3274,-0.7773
white_noise,music/soundtrack,0,0.308,0.6599,0.3312,-0.6899
white_noise,pink_noise,0,0.3423,0.1472,0.372,-0.8775
white_noise,music/soundtrack,0,0.2686,0.709,0.2808,-0.7145
white_noise,white_noise,1,0.3732,0.4468,0.3532,-0.9753
white_noise,white_noise,1,0.3526,0.6907,0.3489,-0.7872
white_noise,white_noise,1,0.3885,0.7287,0.3834,-1.0127
white_noise,white_noise,1,0.371,0.0887,0.4017,-0.8603
white_noise,music/soundtrack,0,0.3033,0.4942,0.3033,-0.7315
white_noise,music/soundtrack,0,0.2777,0.6084,0.2898,-0.6592
white_noise,white_noise,1,0.3512,0.1759,0.385,-0.8434
white_noise,music/soundtrack,0,0.2694,0.571,0.277,-0.6905
white_noise,white_noise,1,0.363,0.429,0.3514,-0.9566
white_noise,white_noise,1,0.3684,0.1161,0.3721,-0.8483
white_noise,white_noise,1,0.3634,0.6649,0.3736,-0.9581
white_noise,white_noise,1,0.3632,0.5119,0.3983,-0.839
white_noise,music/soundtrack,0,0.3329,0.8541,0.3312,-0.7403
white_noise,music/soundtrack,0,0.3042,0.5202,0.3045,-0.7503
