sample_id,mode,chunk_sec,audio_dur_sec,first_word_latency_ms,inference_ms,rtf,wer
1089-134686-0000,batch,10.435,10.435,308.0,308.0,0.0295,0.1786
1089-134686-0000,stream_1.0s,1.0,10.435,175.6,307.7,0.3077,0.8571
1089-134686-0000,stream_2.0s,2.0,10.435,194.5,639.3,0.3197,0.3571
1089-134686-0000,stream_3.0s,3.0,10.435,195.6,241.3,0.0804,0.3571
1089-134686-0000,stream_5.0s,5.0,10.435,212.6,2905.1,0.581,0.6429
1188-133604-0001,batch,9.04,9.04,264.5,264.5,0.0293,0.1667
1188-133604-0001,stream_1.0s,1.0,9.04,202.2,203.6,0.2036,0.3333
1188-133604-0001,stream_2.0s,2.0,9.04,170.2,203.7,0.1019,0.2778
1188-133604-0001,stream_3.0s,3.0,9.04,170.0,187.1,0.0624,0.2778
1188-133604-0001,stream_5.0s,5.0,9.04,197.6,221.0,0.0442,0.2778
121-121726-0000,batch,8.46,8.46,217.8,217.8,0.0258,0.2941
121-121726-0000,stream_1.0s,1.0,8.46,171.7,254.0,0.254,0.6471
121-121726-0000,stream_2.0s,2.0,8.46,171.9,311.9,0.156,0.5294
121-121726-0000,stream_3.0s,3.0,8.46,195.5,202.2,0.0674,0.4118
121-121726-0000,stream_5.0s,5.0,8.46,257.1,298.9,0.0598,0.2353
1221-135766-0002,batch,4.825,4.825,230.0,230.0,0.0477,0.1818
1221-135766-0002,stream_1.0s,1.0,4.825,205.4,396.6,0.3966,0.7273
1221-135766-0002,stream_2.0s,2.0,4.825,189.8,1202.8,0.6014,0.3636
1221-135766-0002,stream_3.0s,3.0,4.825,229.8,270.9,0.0903,0.2727
1221-135766-0002,stream_5.0s,5.0,4.825,202.8,210.1,0.042,0.1818
1284-1180-0000,batch,8.12,8.12,241.6,241.6,0.0298,0.125
1284-1180-0000,stream_1.0s,1.0,8.12,190.9,181.0,0.181,0.5417
1284-1180-0000,stream_2.0s,2.0,8.12,194.4,205.1,0.1025,0.25
1284-1180-0000,stream_3.0s,3.0,8.12,229.5,283.6,0.0945,0.2917
1284-1180-0000,stream_5.0s,5.0,8.12,309.4,410.4,0.0821,0.1667
1320-122612-0001,batch,9.52,9.52,265.2,265.2,0.0279,0.1
1320-122612-0001,stream_1.0s,1.0,9.52,227.0,218.4,0.2184,0.5333
1320-122612-0001,stream_2.0s,2.0,9.52,195.7,223.5,0.1117,0.1667
1320-122612-0001,stream_3.0s,3.0,9.52,196.3,384.5,0.1282,0.1333
1320-122612-0001,stream_5.0s,5.0,9.52,217.6,224.9,0.045,0.0667
