slug,duration_sec,vad_segments,speech_ratio,pred_cues,ref_cues,wer,cer,ts_mae_sec,cps_violations,asr_rtf_mean,asr_rtf_overall,asr_total_inf_ms,enhanced_segs,scene_dominant_mood,scene_music_fraction,scene_speech_fraction,scene_n_segments,scene_n_boundaries,scene_compute_ms
"Marvel's The Avengers- Trailer (OFFICIAL) - Marvel Entertainment (1080p, h264)",124.97,13,0.7,9,22,0.6829,0.5754,18.321,2,0.1196,0.0381,2992.9,1,epic,0.056,0.296,37,37,5874.8
YTDown_YouTube_SPIDER-MAN-BRAND-NEW-DAY-Official-Traile_Media_8TZMtslA3UY_002_720p,160.12,21,0.7,11,18,0.6584,0.5288,46.06,3,0.2489,0.0423,4178.3,6,epic,0.0,0.324,47,47,3499.4
avengers_age_of_ultron,145.14,22,0.7,19,53,0.8623,0.748,36.427,7,0.2475,0.0917,9027.5,14,epic,0.0,0.165,20,19,3362.0
bridesmaids,130.06,29,0.7,22,90,0.8921,0.7999,32.666,10,0.3856,0.0782,6318.1,12,epic,0.052,0.25,22,21,2989.2
captain_america_civil_war,138.12,11,0.7,8,44,0.95,0.8989,45.826,2,0.2325,0.0712,6330.3,4,epic,0.029,0.065,15,14,3427.2
dunkirk,144.13,10,0.7,6,47,0.9634,0.8934,32.916,1,0.2356,0.0433,4007.1,4,epic,0.027,0.062,21,20,3413.5
mad_max_fury_road,150.0,31,0.7,19,69,0.895,0.8164,41.48,6,0.3864,0.0856,7897.2,2,epic,0.021,0.337,41,40,3431.6
nomadland,153.05,51,0.7,34,102,0.9451,0.8528,51.82,17,0.4027,0.2137,17953.8,19,epic,0.079,0.528,83,84,3528.2
spider_man_into_spider_verse,143.3,25,0.7,17,41,0.7993,0.7164,27.598,7,0.2736,0.0589,5274.2,5,epic,0.039,0.017,9,8,3226.1
the_dark_knight,136.41,20,0.7,12,26,0.9328,0.8365,29.3,0,0.2356,0.0715,6313.0,7,epic,0.0,0.044,13,12,2975.0
the_revenant,275.06,77,0.7,62,190,0.8272,0.7532,53.098,26,0.5968,0.1522,25016.2,28,epic,0.116,0.584,140,144,6719.2
the_social_network,80.82,21,0.7,15,28,0.9323,0.7612,11.818,3,0.3804,0.2293,11555.0,14,dialogue,0.01,0.415,35,36,1959.1
whiplash,186.59,38,0.7,24,93,0.8603,0.7747,41.763,5,0.3275,0.0745,8741.7,10,epic,0.161,0.043,16,15,4225.6
zodiac,186.59,38,0.7,24,93,0.8603,0.7738,41.763,5,0.3128,0.0712,8346.5,10,epic,0.161,0.043,16,15,4433.4
