sample_id,noise_type,snr_db,system,used_enhancement,reference,hypothesis,wer,cer,duration_sec,avg_logprob
1089-134686-0000,white,20,raw,False,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick, peppered, flower-fat and sauce.",0.21428571428571427,0.06329113924050633,10.435,-0.2639676997827929
1089-134686-0000,white,20,enhanced,True,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes, and fat-button pieces to be ladled out in thick, peppered, flower-fat and sauce.",0.32142857142857145,0.08227848101265822,10.435,-0.46727342158555984
1089-134686-0000,white,20,adaptive,True,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes, and fat-button pieces to be ladled out in thick, peppered, flower-fat and sauce.",0.32142857142857145,0.08227848101265822,10.435,-0.46727342158555984
1089-134686-0000,white,10,raw,False,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out and thick, peppered, flower-fat and sauce.",0.25,0.0759493670886076,10.435,-0.29146327390227206
1089-134686-0000,white,10,enhanced,True,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stewardener, turnips and carrots and roots, potatoes and fat button pieces to be ladled out, thick, peppered, flower fat and soft.",0.42857142857142855,0.17721518987341772,10.435,-0.5860235066640944
1089-134686-0000,white,10,adaptive,True,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stewardener, turnips and carrots and roots, potatoes and fat button pieces to be ladled out, thick, peppered, flower fat and soft.",0.42857142857142855,0.17721518987341772,10.435,-0.5860235066640944
1089-134686-0000,white,0,raw,False,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hopes they would be too good in her, turn it some carrots and grease potatoes and fat and mutton-peepy be ladled out, thick, peppered, flower-fast and soft.",0.7142857142857143,0.3227848101265823,10.435,-0.8403188091643313
1089-134686-0000,white,0,enhanced,True,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"We hope there would be two within her, turn it from parrot and leave the pig on the back, but we could be ladled out, thick, peppered, bowled, tuck, bawl.",0.8928571428571429,0.4873417721518987,10.435,-0.8997213518619538
1089-134686-0000,white,0,adaptive,True,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"We hope there would be two within her, turn it from parrot and leave the pig on the back, but we could be ladled out, thick, peppered, bowled, tuck, bawl.",0.8928571428571429,0.4873417721518987,10.435,-0.8997213518619538
1089-134686-0000,pink,20,raw,False,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick, peppered flower-fattened sauce.",0.17857142857142858,0.0379746835443038,10.435,-0.2992174528365911
