sample_id,duration_sec,vad_method,segments_detected,speech_sec,coverage,compute_ms,speech_ratio
1089-134686-0000,10.435,energy,5,2.57,0.246,2.45,0.512
1089-134686-0000,10.435,mfcc,4,5.41,0.518,3.2,0.649
1089-134686-0000,10.435,spectral,5,6.4,0.613,7.91,0.7
1188-133604-0001,9.04,energy,3,5.45,0.603,2.06,0.558
1188-133604-0001,9.04,mfcc,3,5.38,0.595,2.8,0.65
1188-133604-0001,9.04,spectral,3,6.21,0.687,6.94,0.699
121-121726-0000,8.46,energy,4,2.6,0.307,2.0,0.53
121-121726-0000,8.46,mfcc,5,5.06,0.598,2.65,0.649
121-121726-0000,8.46,spectral,5,5.11,0.604,6.41,0.7
1221-135766-0002,4.825,energy,1,0.32,0.066,1.17,0.497
1221-135766-0002,4.825,mfcc,1,2.69,0.558,1.7,0.65
1221-135766-0002,4.825,spectral,2,2.83,0.587,3.75,0.7
1284-1180-0000,8.12,energy,5,1.59,0.196,1.91,0.516
1284-1180-0000,8.12,mfcc,4,2.94,0.362,2.58,0.649
1284-1180-0000,8.12,spectral,4,5.07,0.624,6.09,0.7
1320-122612-0001,9.52,energy,2,1.9,0.2,2.18,0.482
1320-122612-0001,9.52,mfcc,4,3.83,0.402,2.82,0.65
1320-122612-0001,9.52,spectral,5,4.55,0.478,6.99,0.7
1580-141083-0000,8.94,energy,2,1.29,0.144,2.11,0.501
1580-141083-0000,8.94,mfcc,6,3.31,0.37,2.69,0.65
1580-141083-0000,8.94,spectral,7,3.04,0.34,6.63,0.699
1995-1826-0000,9.485,energy,1,0.49,0.052,2.28,0.471
1995-1826-0000,9.485,mfcc,7,2.62,0.276,2.91,0.65
1995-1826-0000,9.485,spectral,5,3.81,0.402,6.77,0.7
2094-142345-0001,8.03,energy,4,3.94,0.491,1.94,0.542
2094-142345-0001,8.03,mfcc,3,5.53,0.689,2.59,0.649
2094-142345-0001,8.03,spectral,4,4.63,0.577,6.05,0.7
2300-131720-0000,5.08,energy,2,0.71,0.14,1.19,0.504
2300-131720-0000,5.08,mfcc,3,3.29,0.648,1.75,0.65
2300-131720-0000,5.08,spectral,4,1.89,0.372,3.91,0.699
