sample_id,snr_db,noise_type,vad_method,coverage,compute_ms
1089-134686-0000,20,white,energy,0.19,2.61
1089-134686-0000,20,white,mfcc,0.486,3.14
1089-134686-0000,20,white,spectral,0.536,7.46
1089-134686-0000,20,soundtrack,energy,0.19,2.51
1089-134686-0000,20,soundtrack,mfcc,0.485,3.3
1089-134686-0000,20,soundtrack,spectral,0.624,7.48
1089-134686-0000,10,white,energy,0.077,2.42
1089-134686-0000,10,white,mfcc,0.486,3.17
1089-134686-0000,10,white,spectral,0.516,7.47
1089-134686-0000,10,soundtrack,energy,0.076,2.45
1089-134686-0000,10,soundtrack,mfcc,0.459,3.3
1089-134686-0000,10,soundtrack,spectral,0.571,7.42
1089-134686-0000,5,white,energy,0.027,2.55
1089-134686-0000,5,white,mfcc,0.347,3.17
1089-134686-0000,5,white,spectral,0.363,7.44
1089-134686-0000,5,soundtrack,energy,0.077,2.55
1089-134686-0000,5,soundtrack,mfcc,0.459,3.2
1089-134686-0000,5,soundtrack,spectral,0.528,7.51
1089-134686-0000,0,white,energy,0.026,2.57
1089-134686-0000,0,white,mfcc,0.304,3.11
1089-134686-0000,0,white,spectral,0.252,7.62
1089-134686-0000,0,soundtrack,energy,0.218,2.45
1089-134686-0000,0,soundtrack,mfcc,0.484,3.23
1089-134686-0000,0,soundtrack,spectral,0.485,7.7
1188-133604-0001,20,white,energy,0.556,2.07
1188-133604-0001,20,white,mfcc,0.597,2.87
1188-133604-0001,20,white,spectral,0.613,6.76
1188-133604-0001,20,soundtrack,energy,0.554,2.34
1188-133604-0001,20,soundtrack,mfcc,0.592,2.84
1188-133604-0001,20,soundtrack,spectral,0.621,7.44
1188-133604-0001,10,white,energy,0.396,2.28
1188-133604-0001,10,white,mfcc,0.576,3.82
1188-133604-0001,10,white,spectral,0.616,7.42
1188-133604-0001,10,soundtrack,energy,0.257,2.13
1188-133604-0001,10,soundtrack,mfcc,0.571,2.99
1188-133604-0001,10,soundtrack,spectral,0.621,7.91
1188-133604-0001,5,white,energy,0.187,2.12
1188-133604-0001,5,white,mfcc,0.5,2.88
1188-133604-0001,5,white,spectral,0.579,8.3
1188-133604-0001,5,soundtrack,energy,0.181,2.23
1188-133604-0001,5,soundtrack,mfcc,0.57,5.12
1188-133604-0001,5,soundtrack,spectral,0.6,8.8
1188-133604-0001,0,white,energy,0.066,2.53
1188-133604-0001,0,white,mfcc,0.384,4.04
1188-133604-0001,0,white,spectral,0.46,8.29
1188-133604-0001,0,soundtrack,energy,0.231,2.59
1188-133604-0001,0,soundtrack,mfcc,0.57,3.18
1188-133604-0001,0,soundtrack,spectral,0.598,7.02
121-121726-0000,20,white,energy,0.307,2.09
121-121726-0000,20,white,mfcc,0.546,2.77
121-121726-0000,20,white,spectral,0.697,7.17
121-121726-0000,20,soundtrack,energy,0.306,2.16
121-121726-0000,20,soundtrack,mfcc,0.539,3.23
121-121726-0000,20,soundtrack,spectral,0.488,6.35
121-121726-0000,10,white,energy,0.247,2.07
121-121726-0000,10,white,mfcc,0.534,2.79
121-121726-0000,10,white,spectral,0.689,6.22
121-121726-0000,10,soundtrack,energy,0.247,2.1
121-121726-0000,10,soundtrack,mfcc,0.417,2.65
121-121726-0000,10,soundtrack,spectral,0.47,6.34
121-121726-0000,5,white,energy,0.208,1.99
121-121726-0000,5,white,mfcc,0.483,2.66
121-121726-0000,5,white,spectral,0.583,11.2
121-121726-0000,5,soundtrack,energy,0.074,3.86
121-121726-0000,5,soundtrack,mfcc,0.488,3.58
121-121726-0000,5,soundtrack,spectral,0.485,6.53
121-121726-0000,0,white,energy,0.043,2.01
121-121726-0000,0,white,mfcc,0.359,2.7
121-121726-0000,0,white,spectral,0.546,6.35
121-121726-0000,0,soundtrack,energy,0.031,2.02
121-121726-0000,0,soundtrack,mfcc,0.299,2.8
121-121726-0000,0,soundtrack,spectral,0.437,6.22
