sample_id,snr_db,method,wer,cer,inference_ms,rtf,estimated_snr_before
1089-134686-0000,-5,raw,0.2857142857142857,0.08860759493670886,230.2,0.0221,23.69
1089-134686-0000,-5,wiener,1.0714285714285714,0.6265822784810127,1659.3,0.159,23.69
1089-134686-0000,-5,spectral_sub,0.39285714285714285,0.189873417721519,265.4,0.0254,23.69
1089-134686-0000,-5,adaptive,0.8214285714285714,0.36075949367088606,525.9,0.0504,23.69
1089-134686-0000,0,raw,0.25,0.06962025316455696,217.9,0.0209,23.71
1089-134686-0000,0,wiener,0.42857142857142855,0.17721518987341772,232.3,0.0223,23.71
1089-134686-0000,0,spectral_sub,0.25,0.06962025316455696,234.3,0.0225,23.71
1089-134686-0000,0,adaptive,0.42857142857142855,0.17721518987341772,217.5,0.0208,23.71
1089-134686-0000,5,raw,0.25,0.05063291139240506,238.6,0.0229,24.89
1089-134686-0000,5,wiener,0.32142857142857145,0.08860759493670886,214.1,0.0205,24.89
1089-134686-0000,5,spectral_sub,0.25,0.06962025316455696,222.4,0.0213,24.89
1089-134686-0000,5,adaptive,0.32142857142857145,0.08860759493670886,239.2,0.0229,24.89
1089-134686-0000,10,raw,0.21428571428571427,0.06329113924050633,226.8,0.0217,27.13
1089-134686-0000,10,wiener,0.2857142857142857,0.0759493670886076,240.6,0.0231,27.13
1089-134686-0000,10,spectral_sub,0.17857142857142858,0.056962025316455694,228.7,0.0219,27.13
1089-134686-0000,10,adaptive,0.2857142857142857,0.0759493670886076,220.9,0.0212,27.13
1089-134686-0000,20,raw,0.17857142857142858,0.056962025316455694,240.6,0.0231,31.72
1089-134686-0000,20,wiener,0.25,0.06962025316455696,223.8,0.0215,31.72
1089-134686-0000,20,spectral_sub,0.17857142857142858,0.056962025316455694,237.7,0.0228,31.72
1089-134686-0000,20,adaptive,0.25,0.06962025316455696,224.1,0.0215,31.72
1188-133604-0001,-5,raw,0.2222222222222222,0.10526315789473684,210.5,0.0233,25.71
1188-133604-0001,-5,wiener,0.8333333333333334,0.3684210526315789,207.8,0.023,25.71
1188-133604-0001,-5,spectral_sub,0.2222222222222222,0.09649122807017543,195.5,0.0216,25.71
