model,sample_id,snr_db,wer,cer,inference_ms,rtf,model_load_ms
tiny.en,1089-134686-0000,20,0.17857142857142858,0.06329113924050633,296.4,0.0284,360.3
tiny.en,1089-134686-0000,10,0.17857142857142858,0.05063291139240506,286.7,0.0275,360.3
tiny.en,1089-134686-0000,5,0.17857142857142858,0.05063291139240506,268.5,0.0257,360.3
tiny.en,1089-134686-0000,0,0.17857142857142858,0.06329113924050633,267.9,0.0257,360.3
tiny.en,1188-133604-0001,20,0.2222222222222222,0.07894736842105263,272.6,0.0302,360.3
tiny.en,1188-133604-0001,10,0.16666666666666666,0.06140350877192982,280.7,0.031,360.3
tiny.en,1188-133604-0001,5,0.2777777777777778,0.07894736842105263,290.0,0.0321,360.3
tiny.en,1188-133604-0001,0,0.2222222222222222,0.07017543859649122,267.7,0.0296,360.3
tiny.en,121-121726-0000,20,0.29411764705882354,0.038461538461538464,239.4,0.0283,360.3
tiny.en,121-121726-0000,10,0.29411764705882354,0.08653846153846154,363.7,0.043,360.3
tiny.en,121-121726-0000,5,0.35294117647058826,0.09615384615384616,399.8,0.0473,360.3
tiny.en,121-121726-0000,0,0.35294117647058826,0.09615384615384616,384.7,0.0455,360.3
tiny.en,1221-135766-0002,20,0.18181818181818182,0.05405405405405406,227.7,0.0472,360.3
tiny.en,1221-135766-0002,10,0.18181818181818182,0.05405405405405406,213.4,0.0442,360.3
tiny.en,1221-135766-0002,5,0.18181818181818182,0.05405405405405406,229.9,0.0476,360.3
tiny.en,1221-135766-0002,0,0.18181818181818182,0.05405405405405406,217.7,0.0451,360.3
tiny.en,1284-1180-0000,20,0.16666666666666666,0.03125,257.3,0.0317,360.3
tiny.en,1284-1180-0000,10,0.125,0.0234375,249.9,0.0308,360.3
tiny.en,1284-1180-0000,5,0.16666666666666666,0.03125,281.4,0.0347,360.3
tiny.en,1284-1180-0000,0,0.16666666666666666,0.03125,339.7,0.0418,360.3
tiny.en,1320-122612-0001,20,0.1,0.01818181818181818,346.5,0.0364,360.3
tiny.en,1320-122612-0001,10,0.1,0.01818181818181818,444.7,0.0467,360.3
tiny.en,1320-122612-0001,5,0.13333333333333333,0.030303030303030304,291.3,0.0306,360.3
tiny.en,1320-122612-0001,0,0.13333333333333333,0.030303030303030304,296.5,0.0311,360.3
tiny.en,1580-141083-0000,20,0.06666666666666667,0.013071895424836602,278.6,0.0312,360.3
tiny.en,1580-141083-0000,10,0.06666666666666667,0.013071895424836602,273.3,0.0306,360.3
tiny.en,1580-141083-0000,5,0.06666666666666667,0.013071895424836602,260.0,0.0291,360.3
tiny.en,1580-141083-0000,0,0.06666666666666667,0.013071895424836602,256.5,0.0287,360.3
tiny.en,1995-1826-0000,20,0.14814814814814814,0.062111801242236024,261.9,0.0276,360.3
tiny.en,1995-1826-0000,10,0.14814814814814814,0.06832298136645963,257.3,0.0271,360.3
tiny.en,1995-1826-0000,5,0.14814814814814814,0.062111801242236024,256.7,0.0271,360.3
tiny.en,1995-1826-0000,0,0.14814814814814814,0.06832298136645963,259.0,0.0273,360.3
tiny.en,2094-142345-0001,20,0.2857142857142857,0.06862745098039216,252.9,0.0315,360.3
tiny.en,2094-142345-0001,10,0.2857142857142857,0.06862745098039216,261.1,0.0325,360.3
tiny.en,2094-142345-0001,5,0.14285714285714285,0.0392156862745098,236.3,0.0294,360.3
tiny.en,2094-142345-0001,0,0.14285714285714285,0.0392156862745098,229.6,0.0286,360.3
tiny.en,2300-131720-0000,20,0.23076923076923078,0.04225352112676056,217.1,0.0427,360.3
tiny.en,2300-131720-0000,10,0.3076923076923077,0.07042253521126761,225.2,0.0443,360.3
tiny.en,2300-131720-0000,5,0.23076923076923078,0.04225352112676056,217.5,0.0428,360.3
tiny.en,2300-131720-0000,0,0.23076923076923078,0.04225352112676056,226.9,0.0447,360.3
base.en,1089-134686-0000,20,0.17857142857142858,0.056962025316455694,450.7,0.0432,17561.3
base.en,1089-134686-0000,10,0.17857142857142858,0.04430379746835443,390.8,0.0374,17561.3
base.en,1089-134686-0000,5,0.21428571428571427,0.04430379746835443,378.5,0.0363,17561.3
base.en,1089-134686-0000,0,0.21428571428571427,0.05063291139240506,420.3,0.0403,17561.3
base.en,1188-133604-0001,20,0.16666666666666666,0.06140350877192982,346.5,0.0383,17561.3
base.en,1188-133604-0001,10,0.16666666666666666,0.06140350877192982,372.0,0.0412,17561.3
base.en,1188-133604-0001,5,0.16666666666666666,0.06140350877192982,371.0,0.041,17561.3
base.en,1188-133604-0001,0,0.16666666666666666,0.05263157894736842,345.2,0.0382,17561.3
base.en,121-121726-0000,20,0.23529411764705882,0.028846153846153848,355.3,0.042,17561.3
base.en,121-121726-0000,10,0.23529411764705882,0.028846153846153848,344.8,0.0408,17561.3
base.en,121-121726-0000,5,0.23529411764705882,0.028846153846153848,334.3,0.0395,17561.3
base.en,121-121726-0000,0,0.23529411764705882,0.028846153846153848,343.7,0.0406,17561.3
base.en,1221-135766-0002,20,0.09090909090909091,0.013513513513513514,304.0,0.063,17561.3
base.en,1221-135766-0002,10,0.09090909090909091,0.013513513513513514,316.5,0.0656,17561.3
base.en,1221-135766-0002,5,0.09090909090909091,0.013513513513513514,309.5,0.0641,17561.3
base.en,1221-135766-0002,0,0.09090909090909091,0.013513513513513514,326.2,0.0676,17561.3
base.en,1284-1180-0000,20,0.16666666666666666,0.03125,378.8,0.0467,17561.3
base.en,1284-1180-0000,10,0.16666666666666666,0.03125,382.4,0.0471,17561.3
base.en,1284-1180-0000,5,0.16666666666666666,0.03125,391.7,0.0482,17561.3
base.en,1284-1180-0000,0,0.16666666666666666,0.03125,383.2,0.0472,17561.3
base.en,1320-122612-0001,20,0.1,0.01818181818181818,419.7,0.0441,17561.3
base.en,1320-122612-0001,10,0.1,0.01818181818181818,419.0,0.044,17561.3
base.en,1320-122612-0001,5,0.1,0.01818181818181818,395.4,0.0415,17561.3
base.en,1320-122612-0001,0,0.1,0.01818181818181818,380.4,0.04,17561.3
base.en,1580-141083-0000,20,0.06666666666666667,0.013071895424836602,367.1,0.0411,17561.3
base.en,1580-141083-0000,10,0.06666666666666667,0.013071895424836602,366.2,0.041,17561.3
base.en,1580-141083-0000,5,0.06666666666666667,0.013071895424836602,383.1,0.0429,17561.3
base.en,1580-141083-0000,0,0.06666666666666667,0.013071895424836602,406.2,0.0454,17561.3
base.en,1995-1826-0000,20,0.14814814814814814,0.062111801242236024,360.7,0.038,17561.3
base.en,1995-1826-0000,10,0.14814814814814814,0.062111801242236024,375.3,0.0396,17561.3
base.en,1995-1826-0000,5,0.14814814814814814,0.062111801242236024,358.0,0.0377,17561.3
base.en,1995-1826-0000,0,0.14814814814814814,0.062111801242236024,374.2,0.0394,17561.3
base.en,2094-142345-0001,20,0.23809523809523808,0.049019607843137254,360.4,0.0449,17561.3
base.en,2094-142345-0001,10,0.23809523809523808,0.049019607843137254,363.9,0.0453,17561.3
